"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2"
0.509,-0.0058712,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.509,-0.0068926,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.509,-0.0079201,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.509,-0.0089535,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50899,-0.0099927,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50898,-0.011037,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50897,-0.012087,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50896,-0.013142,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50894,-0.014202,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50892,-0.015266,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50889,-0.016335,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50887,-0.017408,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50884,-0.018485,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5088,-0.019566,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50877,-0.02065,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50873,-0.021738,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50869,-0.022828,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50865,-0.023922,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5086,-0.025018,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50856,-0.026116,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50851,-0.027217,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50845,-0.02832,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5084,-0.029425,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50834,-0.030531,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50828,-0.031639,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50822,-0.032748,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50816,-0.033857,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5081,-0.034968,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50803,-0.036079,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50796,-0.03719,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50789,-0.038301,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50782,-0.039412,0,0,0,0,0.0001882,0,0.121,0,0,0,0
