"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2"
0.5,0.0375,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5,-0.1125,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.4998,-0.11243,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49979,-0.11234,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49977,-0.11224,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49976,-0.11211,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49973,-0.11196,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49971,-0.11179,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49968,-0.11159,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49966,-0.11138,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49962,-0.11115,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49959,-0.1109,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49955,-0.11064,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49951,-0.11035,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49947,-0.11004,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49942,-0.10972,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49938,-0.10937,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49933,-0.10901,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49928,-0.10863,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49922,-0.10823,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49917,-0.10782,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49911,-0.10739,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49905,-0.10694,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49899,-0.10647,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49892,-0.10599,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49886,-0.10549,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49879,-0.10498,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49872,-0.10445,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49865,-0.1039,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49857,-0.10334,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.4985,-0.10276,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49842,-0.10217,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49834,-0.10156,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49826,-0.10094,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49818,-0.1003,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.4981,-0.099648,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49801,-0.098983,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49793,-0.098305,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49784,-0.097612,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49775,-0.096907,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49767,-0.096188,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49758,-0.095456,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49748,-0.094712,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49739,-0.093955,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.4973,-0.093185,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49721,-0.092404,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49711,-0.091611,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49702,-0.090806,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49692,-0.08999,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49682,-0.089162,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49673,-0.088324,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49663,-0.087475,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49653,-0.086615,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49643,-0.085745,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49633,-0.084865,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49623,-0.083975,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49613,-0.083075,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49603,-0.082166,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49593,-0.081247,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49583,-0.08032,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49572,-0.079384,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49562,-0.078439,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49552,-0.077485,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49542,-0.076524,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49532,-0.075555,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49522,-0.074578,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49511,-0.073593,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49501,-0.072601,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49491,-0.071602,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49481,-0.070596,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49471,-0.069583,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49461,-0.068564,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49451,-0.067539,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49441,-0.066508,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49431,-0.065471,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49421,-0.064429,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49411,-0.063381,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49401,-0.062328,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49392,-0.06127,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49382,-0.060207,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49372,-0.05914,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49363,-0.058069,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49354,-0.056993,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49344,-0.055914,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49335,-0.054831,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49326,-0.053745,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.49317,-0.052655,0,0,0,0,0.0001882,0,0.121,0,0,0,0
